album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Cherry Bomb,5,7er0EUMY653mxZ1NVD9mwQ,"FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",spotify:track:7er0EUMY653mxZ1NVD9mwQ,0.405,0.53,0.427,0.0832,0.0976,-7.338,0.0275,75.111,0.195,56,"Tyler, the creator"
Cherry Bomb,6,1sJZgGyZJookIoyLi9jDOV,CHERRY BOMB,spotify:track:1sJZgGyZJookIoyLi9jDOV,0.001,0.594,0.817,0.8,0.155,-3.389,0.0521,133.868,0.151,48,"Tyler, the creator"
Cherry Bomb,7,5DXJ7agkkKytxX8Z2x1fY3,"BLOW MY LOAD (feat. Wanya Morris, Dâm-Funk, Austin Feinstein & Sydney Bennett)",spotify:track:5DXJ7agkkKytxX8Z2x1fY3,0.0127,0.397,0.701,0.000207,0.749,-7.328,0.0737,74.518,0.179,49,"Tyler, the creator"
Cherry Bomb,8,6Xw3iWrQKgArwlRhVuU9CK,"2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)",spotify:track:6Xw3iWrQKgArwlRhVuU9CK,0.334,0.352,0.693,6.21E-05,0.611,-7.412,0.361,88.855,0.348,58,"Tyler, the creator"
Cherry Bomb,9,629TRAVD61y1ZVNl9EOfEE,THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),spotify:track:629TRAVD61y1ZVNl9EOfEE,0.000967,0.63,0.842,0,0.362,-5.636,0.316,84.952,0.634,49,"Tyler, the creator"
Cherry Bomb,10,46CA1H0T1r7u5lDUtVveAh,"FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)",spotify:track:46CA1H0T1r7u5lDUtVveAh,0.032,0.232,0.705,6.60E-05,0.185,-6.928,0.0997,74.28,0.352,65,"Tyler, the creator"
Cherry Bomb,11,078C2jXg7XsMgW78Gfx1JA,SMUCKERS (feat. Lil Wayne & Kanye West),spotify:track:078C2jXg7XsMgW78Gfx1JA,0.015,0.427,0.849,0.00373,0.153,-2.945,0.348,79.155,0.55,62,"Tyler, the creator"
Cherry Bomb,12,7zdanauvITJaq9OE7bBz0c,KEEP DA O'S (feat. Pharrell Williams & Coco O.),spotify:track:7zdanauvITJaq9OE7bBz0c,0.00814,0.501,0.596,0.00023,0.0666,-8.444,0.077,139.929,0.204,44,"Tyler, the creator"
Cherry Bomb,13,2CnrJj6Jz4vSe5E1hsWtpg,"OKAGA, CA (feat. Alice Smith, Leon Ware & Clem Creevy)",spotify:track:2CnrJj6Jz4vSe5E1hsWtpg,0.00196,0.458,0.64,0.0288,0.0782,-4.515,0.0419,145.94,0.205,51,"Tyler, the creator"
Flower Boy,1,33i3xxHB4YSYGYbtJrwwO8,Foreword (feat. Rex Orange County),spotify:track:33i3xxHB4YSYGYbtJrwwO8,0.118,0.734,0.671,0.00317,0.352,-7.107,0.0315,94.025,0.113,62,"Tyler, the creator"
Flower Boy,2,6KuXb26rHuRy3ZDse1VRmx,Where This Flower Blooms (feat. Frank Ocean),spotify:track:6KuXb26rHuRy3ZDse1VRmx,0.71,0.686,0.429,3.41E-06,0.166,-10.402,0.15,130.09,0.27,67,"Tyler, the creator"
Flower Boy,3,4KgTrzmfiWNcVneh2Dd1Ou,Sometimes...,spotify:track:4KgTrzmfiWNcVneh2Dd1Ou,0.959,0.552,0.415,0.000239,0.164,-11.996,0.0451,72.862,0.36,57,"Tyler, the creator"
