name,id,album,artist,energy,danceability,loudness,instrumentalness,popularity,labels
Digital Bitch,5lNEn81j2r1uY0jScWW5wI,Born Again (Deluxe Edition),Black Sabbath,0.8590000000000001,0.182,-11.419,0.746,0,0
Born Again,3hHVqK9G3jgrcaWzLsWQZj,Born Again (Deluxe Edition),Black Sabbath,0.479,0.303,-12.98,0.000933,0,0
Hot Line,218rdubMlfGicsewvngIE5,Born Again (Deluxe Edition),Black Sabbath,0.759,0.35600000000000004,-11.664000000000001,0.0545,0,0
Keep It Warm,6CiBkrlniTtm4cdmxJiC57,Born Again (Deluxe Edition),Black Sabbath,0.706,0.254,-12.470999999999998,0.0114,0,0
The Fallen,37WGjQtGkwoXDWIXD8hd6o,Born Again (Deluxe Edition),Black Sabbath,0.6579999999999999,0.27699999999999997,-13.918,0.0294,0,0
"Hot Line (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",1wch52OQF9xQiJIERFXNr1,Born Again (Deluxe Edition),Black Sabbath,0.903,0.303,-12.452,0.00232,0,0
"War Pigs (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",0llAOHsSo7p5mCOsmK5I5V,Born Again (Deluxe Edition),Black Sabbath,0.792,0.23199999999999998,-13.94,0.000446,0,0
"Black Sabbath (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",7ycc3evbPxkmbAJJGqBlTc,Born Again (Deluxe Edition),Black Sabbath,0.539,0.221,-15.565999999999999,0.00175,0,0
"Zero The Hero (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",6s084OkQtYVHl6VC7kQVJY,Born Again (Deluxe Edition),Black Sabbath,0.8690000000000001,0.3,-12.397,0.00038500000000000003,0,0
"Digital Bitch (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",622TXXpWD3ZSbiiN4Y79b7,Born Again (Deluxe Edition),Black Sabbath,0.919,0.309,-11.409,0.0139,0,0
"Iron Man (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",3QHlCdibAeyWuWCo8vWlTi,Born Again (Deluxe Edition),Black Sabbath,0.693,0.193,-12.378,0.0446,0,0
"Smoke On The Water (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",54zpbYSCjngRLlPNuztbtj,Born Again (Deluxe Edition),Black Sabbath,0.903,0.28800000000000003,-11.65,0.000857,0,0
"Paranoid (Live At Reading Festival, August 1983 - BBC)",7DbneK7yeaq7cZwjibZsB8,Born Again (Deluxe Edition),Black Sabbath,0.836,0.0768,-12.177,0.000721,0,0
In for the Kill (2009 Remaster),2aUcyJK0GcJM9EO51AMr6g,Seventh Star,Black Sabbath,0.894,0.42700000000000005,-10.58,7.58e-05,0,0
No Stranger to Love (2009 Remaster),2ygXPctQz2DlDqKONcPGDE,Seventh Star,Black Sabbath,0.518,0.363,-11.787,0.000136,0,0
Turn to Stone (2009 Remaster),4Lednl6dolMVcpobnmiWmJ,Seventh Star,Black Sabbath,0.9059999999999999,0.389,-11.237,0.105,0,0
Seventh Star (2009 Remaster),324l7ddI3bqcBz8yn6GY9W,Seventh Star,Black Sabbath,0.735,0.429,-12.037,0.000734,1,0
Danger Zone (2009 Remaster),0Dq97Mb8lpaFmspDhj2sQ6,Seventh Star,Black Sabbath,0.861,0.45,-10.542,0.00148,1,0
Heart Like a Wheel (2009 Remaster),2f6GDlSnczeItA6qQmorwl,Seventh Star,Black Sabbath,0.7340000000000001,0.457,-11.273,0.062,0,0
