album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Born Again (Deluxe Edition),2,6QyGUsnFMm7GRCPfkixaTl,Stonehenge (Extended Version),spotify:track:6QyGUsnFMm7GRCPfkixaTl,0.887,0.0888,0.107,0.881,0.108,-32.31,0.0384,85.818,0.0511,0,Black Sabbath
Born Again (Deluxe Edition),3,1wch52OQF9xQiJIERFXNr1,"Hot Line (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:1wch52OQF9xQiJIERFXNr1,0.00487,0.303,0.903,0.00232,0.965,-12.452,0.075,138.836,0.0915,0,Black Sabbath
Born Again (Deluxe Edition),4,0llAOHsSo7p5mCOsmK5I5V,"War Pigs (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:0llAOHsSo7p5mCOsmK5I5V,0.0202,0.232,0.792,0.000446,0.811,-13.94,0.129,105.957,0.149,0,Black Sabbath
Born Again (Deluxe Edition),5,7ycc3evbPxkmbAJJGqBlTc,"Black Sabbath (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:7ycc3evbPxkmbAJJGqBlTc,0.102,0.221,0.539,0.00175,0.942,-15.566,0.0781,141.42,0.158,0,Black Sabbath
Born Again (Deluxe Edition),6,03GK2i4qtOgVG2hUVH3hAU,"The Dark (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:03GK2i4qtOgVG2hUVH3hAU,0.794,0.154,0.179,0.89,0.375,-28.325,0.0428,75.784,0.175,0,Black Sabbath
Born Again (Deluxe Edition),7,6s084OkQtYVHl6VC7kQVJY,"Zero The Hero (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:6s084OkQtYVHl6VC7kQVJY,0.0546,0.3,0.869,0.000385,0.699,-12.397,0.0917,148.832,0.238,0,Black Sabbath
Born Again (Deluxe Edition),8,622TXXpWD3ZSbiiN4Y79b7,"Digital Bitch (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:622TXXpWD3ZSbiiN4Y79b7,0.0711,0.309,0.919,0.0139,0.798,-11.409,0.0518,95.494,0.449,0,Black Sabbath
Born Again (Deluxe Edition),9,3QHlCdibAeyWuWCo8vWlTi,"Iron Man (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:3QHlCdibAeyWuWCo8vWlTi,0.00101,0.193,0.693,0.0446,0.93,-12.378,0.052,129.525,0.28,0,Black Sabbath
Born Again (Deluxe Edition),10,54zpbYSCjngRLlPNuztbtj,"Smoke On The Water (Live on the BBC Friday Rock Show at The Reading Festival, Saturday August 27th 1983)",spotify:track:54zpbYSCjngRLlPNuztbtj,0.000601,0.288,0.903,0.000857,0.987,-11.65,0.0679,124.017,0.136,0,Black Sabbath
Born Again (Deluxe Edition),11,7DbneK7yeaq7cZwjibZsB8,"Paranoid (Live At Reading Festival, August 1983 - BBC)",spotify:track:7DbneK7yeaq7cZwjibZsB8,0.037,0.0768,0.836,0.000721,0.9,-12.177,0.0583,175.421,0.148,0,Black Sabbath
